route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-01,98,95,1,2,0.006354981335279,0.969387755102041,0.9632
T101,2026-01,256,234,15,7,0.0532086092754765,0.9140625,0.8654
T102,2026-01,510,492,9,9,0.14416353193505,0.964705882352941,0.8256
T103,2026-01,733,690,40,3,0.0354514442499565,0.941336971350614,0.908
T104,2026-01,109,102,4,3,0.244357059443991,0.935779816513761,0.7071
T105,2026-01,424,413,8,3,0.0222303254003152,0.974056603773585,0.9524
T106,2026-01,325,312,11,2,0.00890151841397307,0.96,0.9515
T107,2026-01,197,195,0,2,0.0381546414924702,0.989847715736041,0.9521
T108,2026-01,441,397,41,3,0.120641200559031,0.900226757369615,0.7916
T109,2026-01,249,224,22,3,0.102192847504399,0.899598393574297,0.8077
T110,2026-01,306,281,22,3,0.0295179989289314,0.918300653594771,0.8912
T114,2026-01,286,238,43,5,0.0687838313005148,0.832167832167832,0.7749
T115,2026-01,410,372,37,1,0.033706053935377,0.907317073170732,0.8767
T117,2026-01,136,136,0,0,0,1,1
T121,2026-01,158,153,5,0,0.00702198617229228,0.968354430379747,0.9616
T152,2026-01,233,200,31,2,0.05047397916474,0.858369098712446,0.815
T154,2026-01,294,265,23,6,0.0608408464434086,0.901360544217687,0.8465
T180,2026-01,342,333,6,3,0.0472452066355695,0.973684210526316,0.9277
T305,2026-01,472,422,32,18,0.162885762616475,0.894067796610169,0.7484
T352,2026-01,535,449,76,10,0.104746278084244,0.839252336448598,0.7513
T400,2026-01,193,184,7,2,0.0247720960509783,0.953367875647668,0.9298
T401,2026-01,264,248,12,4,0.0506574827910627,0.939393939393939,0.8918
T402,2026-01,243,221,12,10,0.803928747692816,0.909465020576132,0.1783
T407,2026-01,76,65,7,4,0.237401869337029,0.855263157894737,0.6522
T408,2026-01,319,288,29,2,0.0468436225277643,0.90282131661442,0.8605
T409,2026-01,415,399,14,2,0.0209301502921608,0.96144578313253,0.9413
T410,2026-01,237,162,71,4,0.148466857329667,0.683544303797468,0.5821
T411,2026-01,212,205,6,1,0.0121948789666288,0.966981132075472,0.9552
T412,2026-01,589,580,6,3,0.014025546115307,0.98471986417657,0.9709
T413,2026-01,364,357,2,5,0.0193258499137561,0.980769230769231,0.9618
T414,2026-01,302,284,10,8,0.0837075616645581,0.940397350993378,0.8617
T415,2026-01,125,99,26,0,0.1824211938461,0.792,0.6475
T416,2026-01,156,145,7,4,0.150831376220054,0.92948717948718,0.7893
T417,2026-01,600,591,3,6,0.0597472921714866,0.985,0.9261
T418,2026-01,197,177,18,2,0.0571628131700705,0.898477157360406,0.8471
T419,2026-01,142,116,21,5,0.124555240152793,0.816901408450704,0.7152
T451,2026-01,273,227,45,1,0.0832614409881444,0.831501831501832,0.7623
T453,2026-01,257,233,16,8,0.102600390203751,0.906614785992218,0.8136
T455,2026-01,363,355,0,8,0.0283797764581363,0.977961432506887,0.9502
T457,2026-01,206,196,9,1,0.0336093846974529,0.951456310679612,0.9195
T458,2026-01,225,204,20,1,0.0327790874248324,0.906666666666667,0.8769
T459,2026-01,286,253,32,1,0.024763634012275,0.884615384615385,0.8627
T460,2026-01,206,190,13,3,0.0204862717503752,0.922330097087379,0.9034
T461,2026-01,351,323,24,4,0.0489268230824444,0.92022792022792,0.8752
T462,2026-01,145,137,5,3,0.0442337864684773,0.944827586206897,0.903
T463,2026-01,229,219,8,2,0.0346700391230643,0.956331877729258,0.9232
T464,2026-01,248,211,33,4,0.0909339153200659,0.850806451612903,0.7734
T465,2026-01,211,181,21,9,0.113762086150504,0.85781990521327,0.7602
T504,2026-01,78,71,6,1,0.0228504281083446,0.91025641025641,0.8895
T505,2026-01,53,50,2,1,0.0451287436634764,0.943396226415094,0.9008
T506,2026-01,34,31,3,0,0.0439720422036833,0.911764705882353,0.8717
T507,2026-01,234,222,12,0,0.0118594314788641,0.948717948717949,0.9375
T509,2026-01,265,229,33,3,0.0825757538495075,0.864150943396226,0.7928
T511,2026-01,585,516,66,3,0.0910747812299615,0.882051282051282,0.8017
T543,2026-01,452,409,39,4,0.0620912077027623,0.904867256637168,0.8487
T544,2026-01,55,52,0,3,0.0645117118716873,0.945454545454546,0.8845
T545,2026-01,25,19,6,0,0.260512418068388,0.76,0.562
T559,2026-01,121,102,17,2,0.0884236616493583,0.84297520661157,0.7684
T560,2026-01,250,232,16,2,0.0605675447007838,0.928,0.8718
T561,2026-01,185,178,6,1,0.0160135330498503,0.962162162162162,0.9468
T565,2026-01,296,283,11,2,0.0291023517385579,0.956081081081081,0.9283
T566,2026-01,427,405,19,3,0.0301919463289977,0.94847775175644,0.9198
T567,2026-01,183,171,11,1,0.0173812823621786,0.934426229508197,0.9182
T568,2026-01,263,224,38,1,0.140961759056262,0.85171102661597,0.7317
T569,2026-01,188,163,22,3,0.0470907811761067,0.867021276595745,0.8262
T585,2026-01,306,293,5,8,0.0918634060030033,0.957516339869281,0.8696
T586,2026-01,341,327,14,0,0.0150987716650284,0.958944281524927,0.9445
T587,2026-01,280,271,6,3,0.0187901416572912,0.967857142857143,0.9497
T588,2026-01,316,291,21,4,0.0783226661355324,0.920886075949367,0.8488
T589,2026-01,125,115,9,1,0.0455425389706975,0.92,0.8781
T772,2026-01,381,314,60,7,0.133187478382387,0.824146981627297,0.7144
T801,2026-01,183,176,1,6,0.359889643545204,0.961748633879781,0.6156
T802,2026-01,625,575,31,19,0.12871815128755,0.92,0.8016
T803,2026-01,283,263,14,6,0.0700997692977979,0.929328621908127,0.8642
T804,2026-01,61,56,2,3,0.0828879945917086,0.918032786885246,0.8419
T805,2026-01,358,330,22,6,0.0451580155459761,0.921787709497207,0.8802
T807,2026-01,869,823,26,20,0.0498991921906899,0.947065592635213,0.8998
T808,2026-01,203,190,11,2,0.0215958936612299,0.935960591133005,0.9157
T809,2026-01,317,301,12,4,0.0138304223692328,0.949526813880126,0.9364
T810,2026-01,431,368,52,11,0.130126140369019,0.853828306264501,0.7427
T811,2026-01,439,418,21,0,0.0635626683824512,0.952164009111617,0.8916
T812,2026-01,169,154,14,1,0.107812700217893,0.911242603550296,0.813
T813,2026-01,525,505,12,8,0.0238516897838633,0.961904761904762,0.939
T814,2026-01,255,244,10,1,0.014269651982137,0.956862745098039,0.9432
T815,2026-01,825,766,42,17,0.0688005295070402,0.928484848484849,0.8646
T816,2026-01,198,183,7,8,0.118700325590805,0.924242424242424,0.8145
T817,2026-01,393,356,31,6,0.127303213956573,0.905852417302799,0.7905
T818,2026-01,348,316,25,7,0.0556365373937675,0.908045977011494,0.8575
T821,2026-01,212,186,24,2,0.100370874689355,0.877358490566038,0.7893
T852,2026-01,749,662,75,12,0.0818797812592309,0.883845126835781,0.8115
